shoe_size_uk;shoe_size_eu
2.5;34.5
3;35
3.5;35.5
4;36.5
4.5;37
5;37.5
5.5;38
6;39
6.5;39.5
7;40
7.5;40.5
8;41.5
8.5;41.5
9;42.5
9.5;43.5
10;44
10.5;44.5
11;45.5
11.5;46
12;46.5
12.5;47
13;47.5
13.5;48.5
14;49
14.5;49.5
15;50
